ORF	YF_GENE	OF_GENE
YBL036C	YBL036C	YBL036C
YBL037W	APL3	APL3
YBL038W	MRPL16	MRPL16
YBL039C	URA7	URA7
YBL039C-A	NA	YBL039C-A
YBL039W-B	MIN6	YBL039W-B
YBL040C	ERD2	ERD2
YBL041W	PRE7	PRE7
YBL042C	FUI1	FUI1
YBL043W	ECM13	ECM13
YBL044W	YBL044W	YBL044W
YBL045C	COR1	COR1
YBL046W	PSY4	PSY4
YBL047C	EDE1	EDE1
YBL048W	RRT1	RRT1
YBL049W	MOH1	MOH1
YBL050W	SEC17	SEC17
YBL051C	PIN4	PIN4
YBL052C	SAS3	SAS3
YBL053W	YBL053W	YBL053W
YBL054W	TOD6	TOD6
YBL055C	YBL055C	YBL055C
YBL056W	PTC3	PTC3
YBL057C	PTH2	PTH2
YBL058W	SHP1	SHP1
YBL059C-A	CMC2	CMC2
YBL059W	IAI11	YBL059W
YBL060W	YEL1	YEL1
YBL061C	SKT5	SKT5
YBL062W	YBL062W	YBL062W
YBL063W	KIP1	KIP1
YBL064C	PRX1	PRX1
YBL065W	YBL065W	YBL065W
YBL066C	SEF1	SEF1
YBL067C	UBP13	UBP13
YBL068W	PRS4	PRS4
YBL068W-A	NA	YBL068W-A
YBL069W	AST1	AST1
YBL070C	YBL070C	YBL070C
YBL071C	YBL071C	YBL071C
YBL071C-B	YBL071C-B	YBL071C-B
YBL071W-A	KTI11	KTI11
YBL072C	RPS8A	RPS8A
YBL073W	YBL073W	YBL073W
YBL074C	AAR2	AAR2
YBL075C	SSA3	SSA3
YBL076C	ILS1	ILS1
YBL077W	YBL077W	YBL077W
YBL078C	ATG8	ATG8
YBL079W	NUP170	NUP170
YBL080C	PET112	PET112
YBL081W	YBL081W	YBL081W
YBL082C	ALG3	ALG3
YBL083C	YBL083C	YBL083C
YBL084C	CDC27	CDC27
YBL085W	BOI1	BOI1
YBL086C	YBL086C	YBL086C
YBL087C	RPL23A	RPL23A
YBL088C	TEL1	TEL1
YBL089W	AVT5	AVT5
YBL090W	MRP21	MRP21
YBL091C	MAP2	MAP2
YBL091C-A	SCS22	SCS22
YBL092W	RPL32	RPL32
YBL093C	ROX3	ROX3
YBL094C	YBL094C	YBL094C
YBL095W	MRX3	MRX3
YBL096C	YBL096C	YBL096C
YBL097W	BRN1	BRN1
YBL098W	BNA4	BNA4
YBL099W	ATP1	ATP1
YBL100C	YBL100C	YBL100C
YBL100W-C	YBL100W-C	YBL100W-C
YBL101C	ECM21	ECM21
YBL102W	SFT2	SFT2
YBL103C	RTG3	RTG3
YBL104C	SEA4	SEA4
YBL105C	PKC1	PKC1
YBL106C	SRO77	SRO77
YBL107C	MIX23	MIX23
YBL107W-A	YBL107W-A	YBL107W-A
YBL108C-A	PAU9	PAU9
YBL108W	YBL108W	YBL108W
YBL109W	YBL109W	YBL109W
YBL111C	YBL111C	YBL111C
YBL112C	YBL112C	YBL112C
YBL113C	YBL113C	YBL113C
YBL113W-A	NA	YBL113W-A
YBR001C	NTH2	NTH2
YBR002C	RER2	RER2
YBR003W	COQ1	COQ1
YBR004C	GPI18	GPI18
YBR005W	RCR1	RCR1
YBR006W	UGA2	UGA2
YBR007C	DSF2	DSF2
YBR008C	FLR1	FLR1
YBR009C	HHF1	HHF1
YBR010W	HHT1	HHT1
YBR011C	IPP1	IPP1
YBR012C	YBR012C	YBR012C
YBR013C	YBR013C	YBR013C
YBR014C	GRX7	GRX7
YBR015C	MNN2	MNN2
YBR016W	YBR016W	YBR016W
YBR017C	KAP104	KAP104
YBR018C	GAL7	GAL7
YBR019C	GAL10	GAL10
YBR020W	GAL1	GAL1
YBR021W	FUR4	FUR4
YBR022W	POA1	POA1
YBR023C	CHS3	CHS3
YBR024W	SCO2	SCO2
YBR025C	OLA1	OLA1
YBR026C	ETR1	ETR1
YBR027C	YBR027C	YBR027C
YBR028C	YPK3	YPK3
YBR029C	CDS1	CDS1
YBR030W	RKM3	RKM3
YBR031W	RPL4A	RPL4A
YBR032W	YBR032W	YBR032W
YBR033W	EDS1	EDS1
YBR034C	HMT1	HMT1
YBR035C	PDX3	PDX3
YBR036C	CSG2	CSG2
YBR037C	SCO1	SCO1
YBR038W	CHS2	CHS2
YBR039W	ATP3	ATP3
YBR040W	FIG1	FIG1
YBR041W	FAT1	FAT1
YBR042C	CST26	CST26
YBR043C	QDR3	QDR3
YBR044C	TCM62	TCM62
YBR045C	GIP1	GIP1
YBR046C	ZTA1	ZTA1
YBR047W	FMP23	FMP23
YBR048W	RPS11B	RPS11B
YBR049C	REB1	REB1
YBR050C	REG2	REG2
YBR051W	YBR051W	YBR051W
YBR052C	RFS1	RFS1
YBR053C	YBR053C	YBR053C
YBR054W	YRO2	YRO2
YBR055C	PRP6	PRP6
YBR056C-B	NA	YBR056C-B
YBR056W	MRX18	YBR056W
YBR056W-A	MNC1	YBR056W-A
YBR057C	MUM2	MUM2
YBR058C	UBP14	UBP14
YBR058C-A	TSC3	TSC3
YBR059C	AKL1	AKL1
YBR060C	ORC2	ORC2
YBR061C	TRM7	TRM7
YBR062C	YBR062C	YBR062C
YBR063C	CNM1	YBR063C
YBR064W	YBR064W	YBR064W
YBR065C	ECM2	ECM2
YBR066C	NRG2	NRG2
YBR067C	TIP1	TIP1
YBR068C	BAP2	BAP2
YBR069C	TAT1	TAT1
YBR070C	ALG14	ALG14
YBR071W	YBR071W	YBR071W
YBR072C-A	YBR072C-A	YBR072C-A
YBR072W	HSP26	HSP26
YBR073W	RDH54	RDH54
YBR074W	PFF1	PFF1
YBR076C-A	NA	YBR076C-A
YBR076W	ECM8	ECM8
YBR077C	SLM4	SLM4
YBR078W	ECM33	ECM33
YBR079C	RPG1	RPG1
YBR080C	SEC18	SEC18
YBR081C	SPT7	SPT7
YBR082C	UBC4	UBC4
YBR083W	TEC1	TEC1
YBR084C-A	RPL19A	RPL19A
YBR084W	MIS1	MIS1
YBR085C-A	YBR085C-A	YBR085C-A
YBR085W	AAC3	AAC3
YBR086C	IST2	IST2
YBR087W	RFC5	RFC5
YBR088C	POL30	POL30
YBR089C-A	NHP6B	NHP6B
YBR089W	YBR089W	YBR089W
YBR090C	YBR090C	YBR090C
YBR091C	TIM12	TIM12
YBR092C	PHO3	PHO3
YBR093C	PHO5	PHO5
YBR094W	PBY1	PBY1
YBR095C	RXT2	RXT2
YBR096W	YBR096W	YBR096W
YBR097W	VPS15	VPS15
YBR098W	MMS4	MMS4
YBR099C	YBR099C	YBR099C
YBR101C	FES1	FES1
YBR102C	EXO84	EXO84
YBR103C-A	YBR103C-A	YBR103C-A
YBR103W	SIF2	SIF2
YBR104W	YMC2	YMC2
YBR105C	VID24	VID24
YBR106W	SND3	PHO88
YBR107C	IML3	IML3
YBR108W	AIM3	AIM3
YBR109C	CMD1	CMD1
YBR109W-A	NA	YBR109W-A
YBR110W	ALG1	ALG1
YBR111C	YSA1	YSA1
YBR111W-A	SUS1	SUS1
YBR112C	CYC8	CYC8
YBR113W	YBR113W	YBR113W
YBR114W	RAD16	RAD16
YBR115C	LYS2	LYS2
YBR116C	YBR116C	YBR116C
YBR117C	TKL2	TKL2
YBR118W	TEF2	TEF2
YBR119W	MUD1	MUD1
YBR120C	CBP6	CBP6
YBR121C	GRS1	GRS1
YBR121C-A	NA	YBR121C-A
YBR122C	MRPL36	MRPL36
YBR123C	TFC1	TFC1
YBR124W	YBR124W	YBR124W
YBR125C	PTC4	PTC4
YBR126C	TPS1	TPS1
YBR126W-A	MEO1	MEO1
YBR126W-B	NA	YBR126W-B
YBR127C	VMA2	VMA2
YBR128C	ATG14	ATG14
YBR129C	OPY1	OPY1
YBR130C	SHE3	SHE3
YBR131C-A	NA	YBR131C-A
YBR131W	CCZ1	CCZ1
YBR132C	AGP2	AGP2
YBR133C	HSL7	HSL7
YBR134W	YBR134W	YBR134W
YBR135W	CKS1	CKS1
YBR136W	MEC1	MEC1
YBR137W	YBR137W	YBR137W
YBR138C	YBR138C	YBR138C
YBR139W	ATG42	YBR139W
YBR140C	IRA1	IRA1
YBR141C	BMT2	BMT2
YBR141W-A	NA	YBR141W-A
YBR142W	MAK5	MAK5
YBR143C	SUP45	SUP45
YBR144C	YBR144C	YBR144C
YBR145W	ADH5	ADH5
YBR146W	MRPS9	MRPS9
YBR147W	RTC2	RTC2
YBR148W	YSW1	YSW1
YBR149W	ARA1	ARA1
YBR150C	TBS1	TBS1
YBR151W	APD1	APD1
YBR152W	SPP381	SPP381
YBR153W	RIB7	RIB7
YBR154C	RPB5	RPB5
YBR155W	CNS1	CNS1
YBR156C	SLI15	SLI15
YBR157C	ICS2	ICS2
YBR158W	AMN1	AMN1
YBR159W	IFA38	IFA38
YBR160W	CDC28	CDC28
YBR161W	CSH1	CSH1
YBR162C	TOS1	TOS1
YBR162W-A	YSY6	YSY6
YBR163W	EXO5	EXO5
YBR164C	ARL1	ARL1
YBR165W	UBS1	UBS1
YBR166C	TYR1	TYR1
YBR167C	POP7	POP7
YBR168W	PEX32	PEX32
YBR169C	SSE2	SSE2
YBR170C	NPL4	NPL4
YBR171W	SEC66	SEC66
YBR172C	SMY2	SMY2
YBR173C	UMP1	UMP1
YBR174C	YBR174C	YBR174C
YBR175W	SWD3	SWD3
YBR176W	ECM31	ECM31
YBR177C	EHT1	EHT1
YBR178W	YBR178W	YBR178W
YBR179C	FZO1	FZO1
YBR180W	DTR1	DTR1
YBR181C	RPS6B	RPS6B
YBR182C	SMP1	SMP1
YBR182C-A	YBR182C-A	YBR182C-A
YBR183W	YPC1	YPC1
YBR184W	YBR184W	YBR184W
YBR185C	MBA1	MBA1
YBR186W	PCH2	PCH2
YBR187W	GDT1	GDT1
YBR188C	NTC20	NTC20
YBR189W	RPS9B	RPS9B
YBR190W	YBR190W	YBR190W
YBR191W	RPL21A	RPL21A
YBR191W-A	YBR191W-A	YBR191W-A
YBR192W	RIM2	RIM2
YBR193C	MED8	MED8
YBR194W	AIM4	AIM4
YBR195C	MSI1	MSI1
YBR196C	PGI1	PGI1
YBR196C-A	YBR196C-A	YBR196C-A
YBR196C-B	YBR196C-B	YBR196C-B
YBR197C	YBR197C	YBR197C
YBR198C	TAF5	TAF5
YBR199W	KTR4	KTR4
YBR200W	BEM1	BEM1
YBR200W-A	YBR200W-A	YBR200W-A
YBR201C-A	MIN7	YBR201C-A
YBR201W	DER1	DER1
YBR202W	MCM7	MCM7
YBR203W	COS111	COS111
YBR204C	LDH1	LDH1
YBR205W	KTR3	KTR3
YBR206W	YBR206W	YBR206W
YBR207W	FTH1	FTH1
YBR208C	DUR12	DUR1,2
YBR209W	YBR209W	YBR209W
YBR210W	ERV15	ERV15
YBR211C	AME1	AME1
YBR212W	NGR1	NGR1
YBR213W	MET8	MET8
YBR214W	SDS24	SDS24
YBR215W	HPC2	HPC2
YBR216C	YBP1	YBP1
YBR217W	ATG12	ATG12
YBR218C	PYC2	PYC2
YBR219C	YBR219C	YBR219C
YBR220C	YBR220C	YBR220C
YBR221C	PDB1	PDB1
YBR221W-A	YBR221W-A	YBR221W-A
YBR222C	PCS60	PCS60
YBR223C	TDP1	TDP1
YBR223W-A	NA	YBR223W-A
YBR224W	YBR224W	YBR224W
YBR225W	YBR225W	YBR225W
YBR226C	YBR226C	YBR226C
YBR227C	MCX1	MCX1
YBR228W	SLX1	SLX1
YBR229C	ROT2	ROT2
YBR230C	OM14	OM14
YBR230W-A	COQ21	YBR230W-A
YBR231C	SWC5	SWC5
YBR232C	YBR232C	YBR232C
YBR233W	PBP2	PBP2
YBR233W-A	DAD3	DAD3
YBR234C	ARC40	ARC40
YBR235W	VHC1	VHC1
YBR236C	ABD1	ABD1
YBR237W	PRP5	PRP5
YBR238C	YBR238C	YBR238C
YBR239C	ERT1	ERT1
YBR240C	THI2	THI2
YBR241C	VVS1	YBR241C
YBR242W	YBR242W	YBR242W
YBR243C	ALG7	ALG7
YBR244W	GPX2	GPX2
YBR245C	ISW1	ISW1
YBR246W	RRT2	RRT2
YBR247C	ENP1	ENP1
YBR248C	HIS7	HIS7
YBR249C	ARO4	ARO4
YBR250W	SPO23	SPO23
YBR251W	MRPS5	MRPS5
YBR252W	DUT1	DUT1
YBR253W	SRB6	SRB6
YBR254C	TRS20	TRS20
YBR255C-A	RCF3	RCF3
YBR255W	MTC4	MTC4
YBR256C	RIB5	RIB5
YBR257W	POP4	POP4
YBR258C	SHG1	SHG1
YBR259W	YBR259W	YBR259W
YBR260C	RGD1	RGD1
YBR261C	TAE1	TAE1
YBR262C	MIC12	MIC12
YBR263W	SHM1	SHM1
YBR264C	YPT10	YPT10
YBR265W	TSC10	TSC10
YBR266C	SLM6	SLM6
YBR267W	REI1	REI1
YBR268W	MRPL37	MRPL37
YBR269C	SDH8	SDH8
YBR270C	BIT2	BIT2
YBR271W	EFM2	EFM2
YBR272C	HSM3	HSM3
YBR273C	UBX7	UBX7
YBR274W	CHK1	CHK1
YBR275C	RIF1	RIF1
YBR276C	PPS1	PPS1
YBR277C	YBR277C	YBR277C
YBR278W	DPB3	DPB3
YBR279W	PAF1	PAF1
YBR280C	SAF1	SAF1
YBR281C	DUG2	DUG2
YBR282W	MRPL27	MRPL27
YBR283C	SSH1	SSH1
YBR284W	YBR284W	YBR284W
YBR285W	YBR285W	YBR285W
YBR286W	APE3	APE3
YBR287W	YBR287W	YBR287W
YBR288C	APM3	APM3
YBR289W	SNF5	SNF5
YBR290W	BSD2	BSD2
YBR291C	CTP1	CTP1
YBR292C	YBR292C	YBR292C
YBR293W	VBA2	VBA2
YBR294W	SUL1	SUL1
YBR295W	PCA1	PCA1
YBR296C	PHO89	PHO89
YBR296C-A	TYC1	YBR296C-A
YBR297W	MAL33	MAL33
YBR298C	MAL31	MAL31
YBR298C-A	YBR298C-A	YBR298C-A
YBR299W	MAL32	MAL32
YBR300C	YBR300C	YBR300C
YBR301W	PAU24	PAU24
YBR302C	COS2	COS2
YCL001W	RER1	RER1
YCL001W-A	YCL001W-A	YCL001W-A
YCL001W-B	YCL001W-B	YCL001W-B
YCL002C	YCL002C	YCL002C
YCL004W	PGS1	PGS1
YCL005W	LDB16	LDB16
YCL005W-A	VMA9	VMA9
YCL007C	CWH36	YCL007C
YCL008C	STP22	STP22
YCL009C	ILV6	ILV6
YCL010C	SGF29	SGF29
YCL011C	GBP2	GBP2
YCL012C	YCL012C	YCL012C
YCL014W	BUD3	BUD3
YCL016C	DCC1	DCC1
YCL017C	NFS1	NFS1
YCL018W	LEU2	LEU2
YCL021W-A	YCL021W-A	YCL021W-A
YCL022C	NA	YCL022C
YCL023C	YCL023C	YCL023C
YCL024W	KCC4	KCC4
YCL025C	AGP1	AGP1
YCL026C-A	FRM2	FRM2
YCL026C-B	HBN1	HBN1
YCL027W	FUS1	FUS1
YCL028W	RNQ1	RNQ1
YCL029C	BIK1	BIK1
YCL030C	HIS4	HIS4
YCL031C	RRP7	RRP7
YCL032W	STE50	STE50
YCL033C	MXR2	MXR2
YCL034W	LSB5	LSB5
YCL035C	GRX1	GRX1
YCL036W	GFD2	GFD2
YCL037C	SRO9	SRO9
YCL038C	ATG22	ATG22
YCL039W	GID7	GID7
YCL040W	GLK1	GLK1
YCL041C	YCL041C	YCL041C
YCL042W	YCL042W	YCL042W
YCL043C	PDI1	PDI1
YCL044C	MGR1	MGR1
YCL045C	EMC1	EMC1
YCL046W	YCL046W	YCL046W
YCL047C	POF1	POF1
YCL048W	SPS22	SPS22
YCL048W-A	YCL048W-A	YCL048W-A
YCL049C	YCL049C	YCL049C
YCL050C	APA1	APA1
YCL051W	LRE1	LRE1
YCL052C	PBN1	PBN1
YCL054W	SPB1	SPB1
YCL054W-A	RDT1	RDT1
YCL055W	NA	KAR4
YCL056C	PEX34	PEX34
YCL057C-A	MIC10	MIC10
YCL057W	PRD1	PRD1
YCL058C	FYV5	FYV5
YCL058W-A	ADF1	ADF1
YCL059C	KRR1	KRR1
YCL061C	MRC1	MRC1
YCL063W	VAC17	VAC17
YCL064C	CHA1	CHA1
YCL065W	YCL065W	YCL065W
YCL066W	HMLALPHA1	HMLALPHA1
YCL067C	HMLALPHA2	HMLALPHA2
YCL068C	YCL068C	YCL068C
YCL069W	VBA3	VBA3
YCL073C	GEX1	GEX1
YCL076W	YCL076W	YCL076W
YCR001W	YCR001W	YCR001W
YCR002C	CDC10	CDC10
YCR003W	MRPL32	MRPL32
YCR004C	YCP4	YCP4
YCR005C	CIT2	CIT2
YCR006C	YCR006C	YCR006C
YCR007C	YCR007C	YCR007C
YCR008W	SAT4	SAT4
YCR009C	RVS161	RVS161
YCR010C	ADY2	ADY2
YCR011C	ADP1	ADP1
YCR012W	PGK1	PGK1
YCR013C	YCR013C	YCR013C
YCR014C	POL4	POL4
YCR015C	CTO1	CTO1
YCR016W	YCR016W	YCR016W
YCR017C	CWH43	CWH43
YCR018C	SRD1	SRD1
YCR018C-A	YCR018C-A	YCR018C-A
YCR019W	MAK32	MAK32
YCR020C	PET18	PET18
YCR020C-A	MAK31	MAK31
YCR020W-B	HTL1	HTL1
YCR021C	HSP30	HSP30
YCR022C	YCR022C	YCR022C
YCR023C	YCR023C	YCR023C
YCR024C	SLM5	SLM5
YCR024C-A	PMP1	PMP1
YCR024C-B	YCR024C-B	YCR024C-B
YCR025C	YCR025C	YCR025C
YCR026C	NPP1	NPP1
YCR027C	RHB1	RHB1
YCR028C	FEN2	FEN2
YCR028C-A	RIM1	RIM1
YCR030C	SYP1	SYP1
YCR031C	RPS14A	RPS14A
YCR032W	BPH1	BPH1
YCR033W	SNT1	SNT1
YCR034W	ELO2	ELO2
YCR035C	RRP43	RRP43
YCR036W	RBK1	RBK1
YCR037C	PHO87	PHO87
YCR038C	BUD5	BUD5
YCR038W-A	YCR038W-A	YCR038W-A
YCR039C	MATALPHA2	MATALPHA2
YCR040W	MATALPHA1	MATALPHA1
YCR041W	YCR041W	YCR041W
YCR042C	TAF2	TAF2
YCR043C	YCR043C	YCR043C
YCR044C	PER1	PER1
YCR045C	RRT12	RRT12
YCR045W-A	NA	YCR045W-A
YCR046C	IMG1	IMG1
YCR047C	BUD23	BUD23
YCR047W-A	NA	YCR047W-A
YCR048W	ARE1	ARE1
YCR049C	YCR049C	YCR049C
YCR050C	YCR050C	YCR050C
YCR051W	YCR051W	YCR051W
YCR052W	RSC6	RSC6
YCR053W	THR4	THR4
YCR054C	CTR86	CTR86
YCR057C	PWP2	PWP2
YCR059C	YIH1	YIH1
YCR060W	TAH1	TAH1
YCR061W	TVS1	YCR061W
YCR063W	BUD31	BUD31
YCR064C	YCR064C	YCR064C
YCR065W	HCM1	HCM1
YCR066W	RAD18	RAD18
YCR067C	SED4	SED4
YCR068W	ATG15	ATG15
YCR069W	CPR4	CPR4
YCR071C	IMG2	IMG2
YCR072C	RSA4	RSA4
YCR073C	SSK22	SSK22
YCR073W-A	SOL2	SOL2
YCR075C	ERS1	ERS1
YCR075W-A	EGO2	EGO2
YCR076C	FUB1	FUB1
YCR077C	PAT1	PAT1
YCR079W	PTC6	PTC6
YCR081C-A	NA	YCR081C-A
YCR081W	SRB8	SRB8
YCR082W	AHC2	AHC2
YCR083W	TRX3	TRX3
YCR084C	TUP1	TUP1
YCR085W	YCR085W	YCR085W
YCR086W	CSM1	CSM1
YCR087C-A	YCR087C-A	YCR087C-A
YCR087W	YCR087W	YCR087W
YCR088W	ABP1	ABP1
YCR089W	FIG2	FIG2
YCR090C	YCR090C	YCR090C
YCR091W	KIN82	KIN82
YCR092C	MSH3	MSH3
YCR093W	CDC39	CDC39
YCR094W	CDC50	CDC50
YCR095C	OCA4	OCA4
YCR095W-A	YCR095W-A	YCR095W-A
YCR096C	HMRA2	HMRA2
YCR097W	HMRA1	HMRA1
YCR097W-A	YCR097W-A	YCR097W-A
YCR098C	GIT1	GIT1
YCR099C	YCR099C	YCR099C
YCR100C	EMA35	YCR100C
YCR101C	YCR101C	YCR101C
YCR102C	YCR102C	YCR102C
YCR102W-A	YCR102W-A	YCR102W-A
YCR104W	PAU3	PAU3
YCR105W	ADH7	ADH7
YCR106W	RDS1	RDS1
YCR107W	AAD3	AAD3
YCR108C	YCR108C	YCR108C
YDL001W	RMD1	RMD1
YDL002C	NHP10	NHP10
YDL003W	MCD1	MCD1
YDL004W	ATP16	ATP16
YDL005C	MED2	MED2
YDL006W	PTC1	PTC1
YDL007C-A	YDL007C-A	YDL007C-A
YDL007W	RPT2	RPT2
YDL008W	APC11	APC11
YDL009C	YDL009C	YDL009C
YDL010W	GRX6	GRX6
YDL011C	YDL011C	YDL011C
YDL012C	YDL012C	YDL012C
YDL013W	SLX5	SLX5
YDL014W	NOP1	NOP1
YDL015C	TSC13	TSC13
YDL016C	YDL016C	YDL016C
YDL017W	CDC7	CDC7
YDL018C	ERP3	ERP3
YDL019C	OSH2	OSH2
YDL020C	RPN4	RPN4
YDL021W	GPM2	GPM2
YDL022C-A	YDL022C-A	YDL022C-A
YDL022W	GPD1	GPD1
YDL023C	YDL023C	YDL023C
YDL024C	DIA3	DIA3
YDL025C	RTK1	RTK1
YDL025W-A	NA	YDL025W-A
YDL026W	YDL026W	YDL026W
YDL027C	MRX9	MRX9
YDL028C	MPS1	MPS1
YDL029W	ARP2	ARP2
YDL030W	PRP9	PRP9
YDL031W	DBP10	DBP10
YDL032W	YDL032W	YDL032W
YDL033C	SLM3	SLM3
YDL034W	YDL034W	YDL034W
YDL035C	GPR1	GPR1
YDL036C	PUS9	PUS9
YDL037C	BSC1	BSC1
YDL039C	PRM7	PRM7
YDL040C	NAT1	NAT1
YDL041W	YDL041W	YDL041W
YDL042C	SIR2	SIR2
YDL043C	PRP11	PRP11
YDL044C	MTF2	MTF2
YDL045C	FAD1	FAD1
YDL045W-A	MRP10	MRP10
YDL046W	NPC2	NPC2
YDL047W	SIT4	SIT4
YDL048C	STP4	STP4
YDL049C	KNH1	KNH1
YDL050C	YDL050C	YDL050C
YDL051W	LHP1	LHP1
YDL052C	SLC1	SLC1
YDL053C	PBP4	PBP4
YDL054C	MCH1	MCH1
YDL055C	PSA1	PSA1
YDL056W	MBP1	MBP1
YDL057W	YDL057W	YDL057W
YDL058W	USO1	USO1
YDL059C	RAD59	RAD59
YDL060W	TSR1	TSR1
YDL061C	RPS29B	RPS29B
YDL062W	YDL062W	YDL062W
YDL063C	SYO1	SYO1
YDL064W	UBC9	UBC9
YDL065C	PEX19	PEX19
YDL066W	IDP1	IDP1
YDL067C	COX9	COX9
YDL068W	YDL068W	YDL068W
YDL069C	CBS1	CBS1
