ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.676	CP_supported		XVI	StringTie	transcript	697052	698544	1492	+	YPR076W	+	YPR076W	YPR079W	+	MRL1	159.39	2.44	1322.80	0.17	1.57E-46	8.99E-45	158.96	2.45	1399.44	0.16	3.47E-55	2.84E-53		224.50	0.70	1386.57	0.14	7.92E-10	1.45E-07		2.448143506
MSTRG.377	CP_supported		X	StringTie	transcript	126832	129050	2218	+	YJL156W-A	+	YJL156W-A	YJL155C	-	FBP26	838.33	1.21	5155.03	0.10	1.56E-37	8.19E-36	654.58	0.66	4149.03	0.09	8.14E-13	1.33E-11		390.09	0.03	1715.77	0.10	7.08E-01	9.00E-01	Y	1.21360695
MSTRG.581			XV	StringTie	transcript	31359	33992	2633	+	YOL155C	-	HPF1	YOL154W	+	ZPS1	1169.69	1.32	5859.02	0.10	3.81E-37	1.84E-35	1127.12	0.76	5167.27	0.11	3.18E-12	4.96E-11		839.97	0.00	2857.64	0.10	9.67E-01	9.96E-01	Y	1.3227492
MSTRG.7	CP_supported	YAL062W_5UTR	I	StringTie	transcript	31230	31566	336	+	NA	NA	NA	YAL062W	+	GDH3	100.07	-2.68	2936.60	0.22	3.72E-36	1.67E-34	105.26	-2.61	3705.94	0.20	2.92E-39	1.74E-37		84.62	-1.63	1933.00	0.26	1.72E-12	9.44E-10		2.6786186
MSTRG.471	CP_supported		XII	StringTie	transcript	791916	793472	1556	-	YLR332W	+	MID2	tD(GUC)L2	+	tD(GUC)L2	74.86	2.95	676.98	0.25	2.47E-34	1.04E-32	52.03	2.97	434.90	0.28	1.68E-28	7.33E-27		21.98	0.09	136.03	0.20	4.11E-01	7.15E-01	Y	2.969301895
MSTRG.646	CP_supported		XVI	StringTie	transcript	197969	198900	931	-	YPL184C	-	MRN1	YPL183W-A	+	RTC6	690.84	-1.24	10560.95	0.10	3.55E-34	1.39E-32	702.09	-0.79	10146.88	0.10	3.77E-16	8.51E-15		1373.04	-0.14	14381.69	0.09	7.40E-02	3.24E-01	Y	1.2438292
MSTRG.610	CP_supported		XV	StringTie	transcript	571106	571957	851	+	YOR130C	-	ORT1	tD(GUC)O	+	tD(GUC)O	121.40	2.26	1979.52	0.20	8.64E-32	3.19E-30	60.30	0.42	937.33	0.20	2.63E-02	7.14E-02		65.03	-0.14	698.20	0.17	2.42E-01	5.75E-01	Y	2.26244349
MSTRG.539			XIV	StringTie	transcript	321436	322310	874	+	YNL167C	-	SKO1	NA	NA	NA	38.32	4.11	542.96	0.43	1.15E-23	4.00E-22	13.29	2.44	199.97	0.52	4.93E-08	4.54E-07		1.94	-0.04	21.84	0.25	5.12E-01	1.00E+00	Y	4.11090273
MSTRG.334	CP_supported		VII	StringTie	transcript	1082872	1088869	5997	+	YGR295C	-	COS6	YGR296C-A	-	YGR296C-A	63.82	2.24	136.13	0.24	1.54E-22	5.10E-21	69.10	1.76	149.88	0.21	1.29E-18	3.37E-17		55.34	0.42	87.82	0.20	1.72E-03	2.94E-02		2.23950266
MSTRG.435			XI	StringTie	transcript	661337	662544	1207	-	YKR105C	-	VBA5	NA	NA	NA	112.29	1.83	1209.07	0.19	1.98E-22	6.23E-21	54.43	-0.01	649.63	0.19	9.39E-01	9.64E-01	Y	88.14	0.15	666.17	0.15	1.77E-01	5.18E-01	Y	1.83439579
MSTRG.64	CP_supported		III	StringTie	transcript	157720	162023	4303	+	YCR022C	-	YCR022C	YCR024C-B	-	YCR024C-B	285.91	-1.35	796.84	0.14	6.80E-22	2.03E-20	285.99	-1.52	668.72	0.15	6.65E-25	2.42E-23		593.35	-0.50	1307.79	0.12	1.64E-06	2.05E-04		1.515931611
MSTRG.463	CP_supported		XII	StringTie	transcript	542132	543574	1442	+	YLR195C	-	NMT1	YLR196W	+	PWP1	49.93	2.50	463.43	0.27	1.43E-21	4.09E-20	44.00	1.91	292.99	0.29	3.68E-13	6.51E-12		26.62	0.19	171.09	0.22	1.02E-01	3.91E-01	Y	2.50098702
MSTRG.109	CP_supported		IV	StringTie	transcript	617687	618416	729	+	YDR087C	-	RRP1	YDR088C	-	SLU7	87.82	1.91	1614.39	0.21	3.29E-21	8.99E-20	67.31	1.44	1225.96	0.21	4.03E-14	8.26E-13		34.39	0.13	454.32	0.19	2.60E-01	5.88E-01	Y	1.91069179
MSTRG.650	CP_supported		XVI	StringTie	transcript	243091	244275	1184	+	YPL163C	-	SVS1	YPL161C	-	BEM4	79.22	2.01	921.56	0.22	7.10E-21	1.86E-19	186.09	3.39	1382.09	0.21	1.12E-62	1.05E-60		32.55	0.22	281.81	0.20	7.21E-02	3.24E-01	Y	3.392596713
MSTRG.108			IV	StringTie	transcript	616585	616810	225	.	YDR085C	-	AFR1	YDR086C	-	SSS1	134.06	-1.30	7383.57	0.16	1.60E-17	4.02E-16	224.94	-0.46	13499.97	0.12	1.30E-04	6.97E-04		257.11	-0.39	10083.26	0.13	2.61E-04	8.76E-03		1.2964999
MSTRG.332	CP_supported		VII	StringTie	transcript	1078615	1080055	1440	+	YGR292W	+	MAL12	YGR294W	+	PAU12	145.31	1.28	1260.22	0.16	1.19E-16	2.87E-15	129.14	0.51	1364.13	0.15	4.09E-04	1.97E-03		128.32	0.08	843.10	0.13	4.42E-01	7.38E-01	Y	1.28453369
MSTRG.551			XIV	StringTie	transcript	581696	582062	366	-	YNL027W	+	CRZ1	NA	NA	NA	116.98	1.38	4328.48	0.17	2.03E-16	4.72E-15	223.72	1.55	7443.76	0.14	3.29E-31	1.66E-29		4.96	0.12	79.17	0.26	1.08E-01	1.00E+00	Y	1.547447959
MSTRG.263		YFR055W_3UTR	VI	StringTie	transcript	265248	265614	366	+	YFR055W	+	IRC7	NA	NA	NA	126.59	-1.46	4294.44	0.18	5.48E-16	1.23E-14	118.87	-1.97	4483.74	0.19	4.38E-27	1.79E-25		260.97	-0.30	6908.99	0.14	8.27E-03	7.97E-02		1.974170884
MSTRG.532	CP_supported		XIV	StringTie	transcript	110612	112868	2256	-	YNL280C	-	ERG24	YNL278W	+	CAF120	52.71	-1.91	334.30	0.25	1.01E-15	2.20E-14	64.60	-1.52	400.14	0.23	6.30E-13	1.06E-11		207.00	0.34	901.38	0.13	1.42E-03	2.60E-02		1.9138925
MSTRG.243	CP_supported		VI	StringTie	transcript	23364	27901	4537	-	YFL054C	-	AQY3	YFL052W	+	ZNF1	486.33	0.87	1468.74	0.12	1.45E-14	3.03E-13	523.16	0.78	1509.75	0.11	9.73E-14	1.93E-12		813.28	0.24	1716.52	0.13	1.99E-02	1.52E-01	Y	0.87183656
MSTRG.626	CP_supported		XV	StringTie	transcript	969517	970102	585	-	YOR343C	-	YOR343C	YOR343W-B	+	YOR343W-B	28.50	-2.54	627.43	0.36	4.14E-14	8.38E-13	76.36	-0.83	1769.06	0.19	2.50E-06	1.80E-05		222.68	0.04	3743.16	0.11	6.63E-01	8.74E-01	Y	2.5448977
MSTRG.613	CP_supported		XV	StringTie	transcript	672608	674501	1893	+	YOR179C	-	SYC1	YOR181W	+	LAS17	76.28	-1.47	521.73	0.20	1.01E-13	1.98E-12	66.70	-1.31	421.21	0.22	5.08E-11	6.65E-10		158.50	-0.07	793.03	0.13	4.58E-01	7.55E-01	Y	1.4702412
MSTRG.372			X	StringTie	transcript	25352	26886	1534	+	YJL216C	-	IMA5	YJL214W	+	HXT8	123.52	-1.31	971.72	0.18	1.12E-13	2.13E-12	134.88	-0.97	1098.95	0.16	1.13E-10	1.40E-09		230.43	-0.39	1421.25	0.13	2.91E-04	8.76E-03		1.3099884
MSTRG.51	CP_supported		II	StringTie	transcript	807367	808588	1221	+	YBR299W	+	MAL32	YBR300C	-	YBR300C	106.29	1.26	1139.97	0.18	1.38E-13	2.55E-12	88.77	0.51	986.36	0.16	9.62E-04	4.17E-03		113.42	0.37	954.51	0.15	2.44E-03	3.72E-02		1.25766268
MSTRG.412			XI	StringTie	transcript	150607	152974	2367	+	YKL161C	-	KDX1	YKL160W	+	ELF1	239.96	0.94	1419.49	0.14	4.56E-13	8.19E-12	241.10	0.78	1422.11	0.12	4.08E-11	5.45E-10		373.43	0.16	1559.54	0.11	7.54E-02	3.24E-01	Y	0.93552154
MSTRG.546	CP_supported		XIV	StringTie	transcript	500820	501156	336	+	YNL067W	+	RPL9B	YNL066W	+	SUN4	248.28	-0.87	10082.42	0.13	8.42E-13	1.47E-11	203.94	-1.21	7628.90	0.14	9.90E-19	2.82E-17		286.30	-0.73	7394.73	0.14	6.03E-10	1.45E-07		1.20805766
MSTRG.89			IV	StringTie	transcript	221992	222270	278	-	YDL133C-A	-	RPL41A	YDL133W	+	SRF1	45.71	1.79	2242.17	0.26	1.60E-12	2.72E-11	50.35	1.65	2444.02	0.25	4.68E-13	8.06E-12		29.07	-0.07	919.88	0.20	5.10E-01	7.89E-01	Y	1.78785557
MSTRG.580			XV	StringTie	transcript	24786	28117	3331	-	YOL157C	-	IMA2	YOL155C	-	HPF1	94.08	1.20	391.40	0.18	4.03E-12	6.65E-11	66.63	0.46	256.40	0.19	7.87E-03	2.60E-02		109.73	0.04	314.52	0.13	6.71E-01	8.77E-01	Y	1.19858644
MSTRG.514	CP_supported		XIII	StringTie	transcript	759051	759333	282	-	YMR245W	+	YMR245W	YMR246W	+	FAA4	25.82	-2.29	954.42	0.37	5.95E-11	9.59E-10	15.93	-2.59	532.73	0.52	8.51E-09	8.71E-08		49.96	-0.57	1517.03	0.23	9.45E-05	5.19E-03		2.591390798
MSTRG.470			XII	StringTie	transcript	789689	790404	715	-	YLR330W	+	CHS5	YLR331C	-	YLR331C	18.11	2.73	317.51	0.47	1.47E-10	2.30E-09	17.90	1.03	272.01	0.36	3.70E-04	1.81E-03		5.45	-0.04	63.22	0.24	6.32E-01	1.00E+00	Y	2.7285205
MSTRG.472	CP_supported		XII	StringTie	transcript	807234	808642	1408	-	YLR340W	+	RPP0	YLR342W	+	FKS1	65.52	-1.29	637.09	0.23	1.00E-09	1.53E-08	63.71	-1.12	641.88	0.21	3.74E-09	3.96E-08		189.46	0.33	1342.37	0.14	3.60E-03	4.71E-02		1.2885697
MSTRG.339	CP_supported		VIII	StringTie	transcript	74579	75022	443	-	YHL016C	-	DUR3	YHL015W	+	RPS20	20.22	2.28	548.56	0.41	1.62E-09	2.42E-08	24.70	2.31	637.52	0.37	1.37E-11	1.95E-10		14.70	0.31	277.07	0.27	1.12E-02	9.93E-02		2.306987701
MSTRG.442			XII	StringTie	transcript	168452	168774	322	+	tS(AGA)L	-	tS(AGA)L	YLR011W	+	LOT6	14.24	5.19	486.78	1.00	2.41E-09	3.51E-08	0.10	0.04	0.00	0.86	8.40E-01	1.00E+00	Y	0.12	0.00	0.00	0.27	8.61E-01	1.00E+00	Y	5.18652787
MSTRG.233			V	StringTie	transcript	548091	549434	1343	-	YER178W	+	PDA1	YER180C	-	ISC10	110.31	-1.09	1002.48	0.21	3.60E-09	5.14E-08	97.08	-0.83	900.15	0.17	3.91E-07	3.16E-06		132.59	-0.35	884.62	0.15	3.25E-03	4.51E-02		1.0909287
MSTRG.224	CP_supported		V	StringTie	transcript	374817	378051	3234	-	YER107W-A	+	YER107W-A	YER110C	-	KAP123	427.19	-0.60	1791.21	0.11	7.30E-09	1.02E-07	430.90	-0.87	1841.38	0.11	1.47E-16	3.44E-15		869.89	-0.05	2631.39	0.09	4.49E-01	7.47E-01	Y	0.866798164
MSTRG.29			II	StringTie	transcript	287984	289352	1368	+	YBR023C	-	CHS3	YBR024W	+	SCO2	25.43	1.88	259.31	0.35	1.28E-08	1.75E-07	23.83	1.52	256.05	0.37	7.62E-07	5.94E-06		14.41	0.04	110.31	0.21	6.85E-01	8.82E-01	Y	1.88243273
MSTRG.570	CP_supported		XIV	StringTie	transcript	771476	774508	3032	-	YNR071C	-	YNR071C	YNR073C	-	MAN2	422.12	-0.58	1950.48	0.11	3.54E-08	4.73E-07	438.24	-0.79	1900.57	0.11	1.10E-12	1.75E-11		939.97	-0.07	2962.29	0.10	3.96E-01	7.02E-01	Y	0.794434227
MSTRG.669			XVI	StringTie	transcript	620029	622006	1977	+	YPR026W	+	ATH1	tF(GAA)P2	-	tF(GAA)P2	170.54	-0.68	1187.35	0.15	1.82E-07	2.39E-06	228.96	-0.27	1644.82	0.12	2.07E-02	5.80E-02		215.24	-0.19	1054.51	0.12	6.14E-02	3.04E-01	Y	0.679625
MSTRG.582			XV	StringTie	transcript	35447	40719	5272	-	YOL154W	+	ZPS1	YOL152W	+	FRE7	236.22	-0.63	591.61	0.14	2.33E-07	2.98E-06	249.61	-0.41	628.66	0.13	9.13E-04	4.01E-03		334.66	-0.40	576.23	0.13	2.82E-04	8.76E-03		0.6322419
MSTRG.256	CP_supported		VI	StringTie	transcript	114131	114592	461	-	YFL011W	+	HXT10	YFL010W-A	+	AUA1	15.46	2.07	508.32	0.45	3.63E-07	4.56E-06	14.12	2.27	355.83	0.49	5.53E-08	4.96E-07		13.70	0.15	249.91	0.23	1.51E-01	4.88E-01	Y	2.271387838
MSTRG.116			IV	StringTie	transcript	903819	905115	1296	+	YDR218C	-	SPR28	YDR219C	-	MFB1	30.80	1.50	330.37	0.33	3.80E-07	4.68E-06	25.46	1.30	278.21	0.33	2.45E-06	1.78E-05		38.29	0.16	286.79	0.18	1.78E-01	5.18E-01	Y	1.50478931
MSTRG.625	CP_supported		XV	StringTie	transcript	958317	959198	881	+	YOR338W	+	YOR338W	YOR340C	-	RPA43	22.22	1.58	328.69	0.36	8.94E-07	1.08E-05	23.54	0.75	339.03	0.29	2.78E-03	1.03E-02		19.17	0.11	217.75	0.20	3.06E-01	6.22E-01	Y	1.58141535
MSTRG.161			IX	StringTie	transcript	386925	388792	1867	+	YIR018C-A	-	YIR018C-A	YIR019C	-	FLO11	63.27	0.97	435.11	0.24	1.23E-06	1.46E-05	50.51	0.87	373.15	0.23	2.69E-05	1.68E-04		55.83	0.05	288.92	0.16	6.58E-01	8.74E-01	Y	0.96849985
MSTRG.476	CP_supported		XII	StringTie	transcript	1030039	1030600	561	-	YLR448W	+	RPL6B	YLR449W	+	FPR4	31.95	1.29	712.89	0.31	1.26E-06	1.47E-05	29.82	0.92	662.56	0.28	1.28E-04	6.95E-04		43.56	0.22	870.34	0.19	7.08E-02	3.24E-01	Y	1.29034119
MSTRG.245			VI	StringTie	transcript	29756	31220	1464	+	YFL052W	+	ZNF1	NA	NA	NA	75.20	0.92	671.18	0.23	1.48E-06	1.69E-05	84.87	1.00	711.90	0.19	1.11E-08	1.12E-07		121.37	0.09	692.97	0.15	4.04E-01	7.09E-01	Y	0.996068656
MSTRG.392	CP_supported		X	StringTie	transcript	626960	628728	1768	-	YJR106W	+	ECM27	YJR109C	-	CPA2	224.93	-0.56	1718.67	0.13	1.78E-06	1.99E-05	245.77	-0.70	1911.57	0.12	2.59E-09	2.79E-08		387.08	-0.17	2126.95	0.12	7.07E-02	3.24E-01	Y	0.698501626
MSTRG.622		YOR315W_3UTR	XV	StringTie	transcript	905823	906146	323	+	YOR315W	+	SFG1	YOR316C	-	COT1	21.34	1.60	801.60	0.38	2.29E-06	2.52E-05	11.71	0.18	513.35	0.36	5.22E-01	6.66E-01	Y	13.06	-0.06	397.93	0.21	5.80E-01	8.19E-01	Y	1.59628277
MSTRG.157	CP_supported		IX	StringTie	transcript	283145	284821	1676	+	YIL037C	-	PRM2	YIL036W	+	CST6	16.33	-1.80	120.51	0.44	2.56E-06	2.77E-05	29.86	0.14	247.51	0.24	5.31E-01	6.73E-01	Y	57.21	-0.04	330.41	0.16	7.24E-01	9.02E-01	Y	1.7982575
MSTRG.468		YLR264W_3UTR	XII	StringTie	transcript	673384	673991	607	+	YLR264W	+	RPS28B	YLR265C	-	NEJ1	164.19	-0.82	3447.85	0.21	2.83E-06	3.01E-05	267.97	-0.76	6545.32	0.40	1.26E-02	3.86E-02		354.91	-0.34	5305.87	0.16	6.22E-03	7.26E-02		0.8178727
MSTRG.482	CP_supported		XIII	StringTie	transcript	31782	32032	250	-	YML119W	+	YML119W	YML118W	+	NGL3	10.07	2.51	418.34	0.65	2.89E-06	3.03E-05	5.09	0.59	244.07	0.54	8.28E-02	1.78E-01	Y	2.57	-0.10	97.67	0.26	1.36E-01	1.00E+00	Y	2.51017037
MSTRG.462			XII	StringTie	transcript	498122	498806	684	-	YLR166C	-	SEC10	YLR167W	+	RPS31	22.93	1.45	452.76	0.37	4.26E-06	4.38E-05	23.97	0.76	446.58	0.30	2.40E-03	9.23E-03		23.21	0.51	232.40	0.31	6.02E-04	1.38E-02		1.45058198
MSTRG.299	CP_supported		VII	StringTie	transcript	677566	678350	784	-	YGR096W	+	TPC1	YGR097W	+	ASK10	23.96	1.44	342.05	0.37	5.18E-06	5.24E-05	21.14	1.23	305.61	0.37	3.65E-05	2.23E-04		26.15	0.29	301.53	0.22	2.28E-02	1.63E-01	Y	1.4401812
MSTRG.637			XVI	StringTie	transcript	19705	22738	3033	-	YPL275W	+	YPL275W	YPL274W	+	SAM3	191.44	-0.60	837.90	0.15	5.53E-06	5.51E-05	211.73	-0.72	952.06	0.13	2.58E-09	2.79E-08		424.96	-0.09	1345.78	0.11	2.85E-01	6.00E-01	Y	0.722443155
MSTRG.194	CP_supported		V	StringTie	transcript	21414	25498	4084	+	YEL070W	+	MAN2	YEL068C	-	YEL068C	246.36	-0.51	808.00	0.12	7.94E-06	7.79E-05	245.65	-0.62	743.62	0.13	4.38E-07	3.50E-06		609.79	-0.05	1390.39	0.10	5.64E-01	8.17E-01	Y	0.624481577
MSTRG.28	CP_supported		II	StringTie	transcript	269749	269956	207	-	YBR015C	-	MNN2	YBR016W	+	YBR016W	12.80	1.89	723.26	0.51	1.13E-05	1.09E-04	12.62	1.87	603.82	0.52	4.73E-06	3.26E-05		11.43	0.22	567.12	0.25	4.43E-02	2.51E-01	Y	1.88698161
MSTRG.49			II	StringTie	transcript	799349	800111	762	-	YBR296C	-	PHO89	YBR296C-A	-	YBR296C-A	20.88	1.38	350.83	0.38	1.31E-05	1.25E-04	20.79	1.84	367.41	0.39	3.30E-08	3.13E-07		12.13	0.13	150.29	0.23	2.02E-01	5.48E-01	Y	1.836380162
MSTRG.217			V	StringTie	transcript	288597	290176	1579	-	tS(UGA)E	-	tS(UGA)E	YER066W	+	RRT13	59.91	-0.86	502.52	0.25	1.54E-05	1.44E-04	58.83	-0.65	565.06	0.21	7.69E-04	3.45E-03		82.15	-0.66	494.88	0.20	2.25E-06	2.05E-04		0.8557523
MSTRG.677	CP_supported		XVI	StringTie	transcript	780370	781741	1371	-	YPR121W	+	THI22	YPR122W	+	AXL1	342.30	0.49	3654.92	0.13	1.92E-05	1.78E-04	735.26	1.38	7323.87	0.12	5.85E-33	3.19E-31		131.75	-0.16	920.99	0.15	1.48E-01	4.88E-01	Y	1.381781729
MSTRG.576			XV	StringTie	transcript	8294	9592	1298	-	YOL164W	+	BDS1	YOL163W	+	YOL163W	33.12	1.10	342.93	0.33	2.89E-05	2.63E-04	29.42	0.50	283.71	0.26	3.06E-02	8.00E-02		34.33	-0.06	248.14	0.18	5.77E-01	8.18E-01	Y	1.10027296
MSTRG.349	CP_supported		VIII	StringTie	transcript	271690	272398	708	-	YHR082C	-	KSP1	YHR083W	+	SAM35	651.30	0.41	13141.84	0.11	3.09E-05	2.77E-04	699.23	0.55	14054.24	0.10	4.05E-09	4.21E-08		1105.29	0.09	15683.47	0.09	2.09E-01	5.49E-01	Y	0.554910274
MSTRG.614	CP_supported		XV	StringTie	transcript	682376	682849	473	+	YOR185C	-	GSP2	YOR186W	+	YOR186W	21.98	1.34	731.00	0.40	3.23E-05	2.86E-04	22.90	0.60	628.48	0.30	1.90E-02	5.46E-02		21.07	0.00	411.20	0.20	9.98E-01	1.00E+00	Y	1.34071011
MSTRG.307			VII	StringTie	transcript	754091	754625	534	-	YGR130C	-	YGR130C	YGR131W	+	FHN1	15.20	1.51	357.64	0.45	3.69E-05	3.21E-04	13.74	0.13	386.40	0.32	6.21E-01	7.47E-01	Y	23.80	0.16	431.98	0.20	1.74E-01	5.17E-01	Y	1.50586475
MSTRG.621	CP_supported		XV	StringTie	transcript	877857	878195	338	-	YOR298C-A	-	MBF1	YOR299W	+	BUD7	9.36	2.02	306.41	0.62	3.73E-05	3.21E-04	10.41	1.47	442.68	0.55	1.90E-04	1.00E-03		9.95	0.04	255.05	0.22	6.86E-01	8.82E-01	Y	2.01808849
MSTRG.618			XV	StringTie	transcript	762320	762593	273	-	YOR226C	-	ISU2	YOR227W	+	HER1	7.86	-2.09	366.63	0.66	4.40E-05	3.74E-04	6.80	-1.86	264.38	0.77	2.29E-04	1.18E-03		12.72	-0.33	395.39	0.29	6.50E-03	7.44E-02		2.0866384
MSTRG.633			XV	StringTie	transcript	1044415	1045163	748	-	YOR376W	+	YOR376W	YOR376W-A	+	YOR376W-A	11.93	-1.75	182.65	0.54	4.87E-05	4.08E-04	10.66	-1.59	185.01	0.56	9.93E-05	5.51E-04		21.91	-0.50	256.37	0.30	6.73E-04	1.48E-02		1.7489661
MSTRG.487	CP_supported		XIII	StringTie	transcript	140368	141681	1313	+	YML067C	-	ERV41	YML065W	+	ORC1	59.39	0.77	610.48	0.25	6.47E-05	5.34E-04	61.65	0.68	617.34	0.20	1.95E-04	1.02E-03		57.63	0.08	424.21	0.16	4.55E-01	7.53E-01	Y	0.76563578
MSTRG.588	CP_supported		XV	StringTie	transcript	96657	97268	611	+	YOL118C	-	YOL118C	YOL117W	+	RRI2	87.53	0.64	1976.06	0.20	7.21E-05	5.88E-04	79.02	0.24	1857.75	0.17	1.29E-01	2.48E-01	Y	126.32	-0.04	1969.39	0.13	6.86E-01	8.82E-01	Y	0.63655109
MSTRG.210			V	StringTie	transcript	258386	259185	799	.	YER052C	-	HOM3	NA	NA	NA	442.64	-0.44	8237.80	0.12	8.99E-05	7.24E-04	505.64	-0.27	8991.57	0.11	8.61E-03	2.78E-02		767.85	-0.16	9682.74	0.11	7.44E-02	3.24E-01	Y	0.4430553
MSTRG.232	CP_supported		V	StringTie	transcript	504004	504854	850	+	YER163C	-	GCG1	YER164W	+	CHD1	332.68	-0.41	5642.57	0.11	9.45E-05	7.51E-04	276.40	-0.42	4434.85	0.12	2.49E-04	1.27E-03		398.24	-0.18	4570.17	0.11	5.34E-02	2.79E-01	Y	0.416045433
MSTRG.483	CP_supported		XIII	StringTie	transcript	45955	46665	710	-	YML112W	+	CTK3	YML111W	+	BUL2	37.90	-0.84	770.38	0.29	1.15E-04	9.01E-04	41.13	-0.84	781.97	0.24	8.62E-05	4.87E-04		92.99	-0.11	1240.15	0.14	3.04E-01	6.22E-01	Y	0.8407341
MSTRG.209			V	StringTie	transcript	241850	242949	1099	-	YER045C	-	ACA1	YER046W	+	SPO73	18.52	1.22	213.98	0.43	1.39E-04	1.08E-03	22.44	1.00	292.85	0.33	2.83E-04	1.43E-03		15.90	0.02	134.20	0.21	8.83E-01	9.81E-01	Y	1.21630362
MSTRG.465	CP_supported		XII	StringTie	transcript	603081	603712	631	-	YLR228C	-	ECM22	YLR229C	-	CDC42	39.10	0.80	862.45	0.28	1.82E-04	1.39E-03	48.86	0.80	1188.39	0.22	6.64E-05	3.92E-04		16.50	0.04	213.18	0.21	6.79E-01	8.82E-01	Y	0.799890912
