newID	start	stop	chr	newname	X1_1_Kar4dep_Ste12_AF_log2Fold	X1_1_Kar4dep_Ste12_AF_log2Q	X1_1_Kar4dep_Ste12_AF_Sig	X1_1_Kar4dep_Ste12_AF_Ctrl	closest	closestdist	in_feature	in_feature_prom_dist
68	838904	839144	chrVII	chrVII:839024	3.926	-8.9	21.1	3.9	LSO2	2359	PSD2	1882
69	878156	878745	chrVII	chrVII:878276_chrVII:878407_chrVII:878625	2.98	-146.758	443	69.5	CRH1	215	NA	NA
70	958454	958694	chrVII	chrVII:958574	2.679	-36.582	130.4	28.9	PHO81	364	NA	NA
71	272685	272925	chrVIII	chrVIII:272805	1.989	-12.034	75.5	31.4	KSP1	1257	SAM35	178
72	273485	273725	chrVIII	chrVIII:273605	0.904	-9.134	645	420.9	STE12	569	SAM35	978
73	273725	274190	chrVIII	chrVIII:273845_chrVIII:274070	2.196	-431.325	2165.1	656	STE12	329	NA	NA
74	401153	401393	chrVIII	chrVIII:401273	2.235	-25.318	122.6	56.6	SPO12	161	NA	NA
75	508786	509026	chrVIII	chrVIII:508906	4.719	-326.303	613.5	65.5	SCH9	457	NA	NA
76	101835	102194	chrX	chrX:101955_chrX:102074	4.335	-213.291	429.1	54.9	YJL169W	144	NA	NA
77	115707	115947	chrX	chrX:115827	3.5	-119.42	305.3	71.2	JJJ2	198	NA	NA
78	126435	126702	chrX	chrX:126555_chrX:126582	3.166	-426.634	1184.2	175.4	YJL156W-A	22	NA	NA
79	220038	220462	chrX	chrX:220158_chrX:220342	2.476	-31.219	125	34.9	YJL107C	326	NA	NA
80	724196	724534	chrX	chrX:724316_chrX:724414	3.978	-236.972	505.1	52.9	YJR154W	1468	NA	NA
81	84383	84665	chrXI	chrXI:84503_chrXI:84545	4.453	-218.594	419.9	24.1	HYM1	159	NA	NA
82	201939	202179	chrXI	chrXI:202059	2.39	-40.417	170.5	37.8	PMU1	288	NA	NA
83	202447	202687	chrXI	chrXI:202567	3.534	-128.466	308.4	32.4	PMU1	796	NA	NA
84	203173	203413	chrXI	chrXI:203293	3.837	-171.528	382.1	27.9	PGM1	248	NA	NA
85	358086	358326	chrXI	chrXI:358206	2.333	-7.331	32.5	9.6	SPC42	269	NA	NA
86	379452	379692	chrXI	chrXI:379572	3.824	-249.359	553.4	65.9	YKL031W	2500	NA	NA
87	385792	386032	chrXI	chrXI:385912	4.045	-37.642	82.9	9.2	MAE1	1187	TFA1	154
88	517182	517422	chrXI	chrXI:517302	1.841	-321.869	2333.3	902.7	YKR041W	896	NA	NA
89	518808	519172	chrXI	chrXI:518928_chrXI:518973_chrXI:519052	1.606	-127.597	1282.3	612.9	YKR040C	407	NA	NA
90	614463	614703	chrXI	chrXI:614583	2.408	-89.403	375	92.3	SRP40	698	NA	NA
91	48928	49168	chrXII	chrXII:49048	4.373	-8.811	25.1	6.6	RPL8B	419	NA	NA
92	234714	234954	chrXII	chrXII:234834	1.779	-27.977	250.4	72	PDC1	753	NA	NA
93	247946	248186	chrXII	chrXII:248066	3.061	-18.156	53.7	8.4	FCF2	1089	NA	NA
94	343141	343381	chrXII	chrXII:343261	1.476	-52.041	641.5	326.4	YLR101C	300	APC9	506
95	343590	343830	chrXII	chrXII:343710	2.13	-40.346	212.3	80.5	YLR101C	749	APC9	57
96	693892	694132	chrXII	chrXII:694012	3.055	-26.345	78.5	12.8	SMD2	366	NA	NA
97	728319	728559	chrXII	chrXII:728439	1.326	-21.239	371.9	167	YLR299C-A	436	NA	NA
98	790003	790328	chrXII	chrXII:790123_chrXII:790208	3.092	-224.86	645.9	88.7	MID2	468	NA	NA
99	1043519	1043759	chrXII	chrXII:1043639	6.493	-74.244	128.8	9	FMP27	359	NA	NA
100	181186	181652	chrXIII	chrXIII:181306_chrXIII:181310_chrXIII:181532	1.595	-45.861	458.1	170.7	PRP39	164	NA	NA
101	245923	246163	chrXIII	chrXIII:246043	4.464	-10.525	28.1	3.5	ERV25	73	NA	NA
102	321806	322046	chrXIII	chrXIII:321926	4.294	-8.806	25.2	4.8	MSS1	909	MRPL3	51
103	399430	399915	chrXIII	chrXIII:399550_chrXIII:399747_chrXIII:399795	2.479	-236.369	971.3	321.8	SOV1	1794	KAR5	45
104	589643	589883	chrXIII	chrXIII:589763	4.076	-148.431	308.4	18	MSS11	213	NA	NA
105	625493	625937	chrXIII	chrXIII:625613_chrXIII:625817	3.241	-65.674	176.4	28.8	RGM1	650	MIN3	6
106	659471	659711	chrXIII	chrXIII:659591	6.221	-619.181	954.4	18.8	CIK1	154	NA	NA
107	659843	660083	chrXIII	chrXIII:659963	4.672	-76.36	141.6	10.5	VTI1	765	CIK1	218
108	660193	660433	chrXIII	chrXIII:660313	4.606	-17.221	31	4.3	VTI1	1115	CIK1	568
109	736199	736439	chrXIII	chrXIII:736319	2.703	-229.845	804.6	144.7	FUS2	607	PEP5	2774
110	736550	736844	chrXIII	chrXIII:736670_chrXIII:736689_chrXIII:736724	3.511	-824.25	2016.4	287.1	FUS2	202	NA	NA
111	736875	737115	chrXIII	chrXIII:736995	1.647	-9.988	86.3	49.6	TRI1	2190	FUS2	69
112	880351	880868	chrXIII	chrXIII:880471_chrXIII:880562_chrXIII:880655_chrXIII:880748	2.546	-391.794	1505.4	322.8	SCW10	330	NA	NA
113	64922	65162	chrXIV	chrXIV:65042	4.022	-33.184	71.8	9.4	RPL18B	480	NA	NA
114	110613	110881	chrXIV	chrXIV:110733_chrXIV:110761	4.707	-Inf	2396.3	150	PRM1	156	NA	NA
115	111015	111255	chrXIV	chrXIV:111135	3.163	-113.856	323.3	68.7	ERG24	724	PRM1	218
116	128974	129388	chrXIV	chrXIV:129094_chrXIV:129268	4.563	-12.866	32.3	5.9	SEC2	10	NA	NA
117	254016	254256	chrXIV	chrXIV:254136	3.551	-93.516	226.1	34.8	YNL208W	282	NA	NA
118	276050	276290	chrXIV	chrXIV:276170	2.628	-287.521	1048	191.1	CHS1	332	NA	NA
119	301286	301526	chrXIV	chrXIV:301406	1.484	-15.551	197.6	82.9	YNL179C	303	NA	NA
120	301762	302002	chrXIV	chrXIV:301882	3.283	-278.838	738.9	110.9	YNL179C	779	NA	NA
121	424520	424760	chrXIV	chrXIV:424640	3.388	-57.281	148.7	16.1	INP52	145	NA	NA
122	525288	525528	chrXIV	chrXIV:525408	2.995	-14.311	47.1	7	VAC7	678	NA	NA
123	529509	529749	chrXIV	chrXIV:529629	3.467	-268.543	656.6	89.3	MSG5	313	NA	NA
124	703331	703571	chrXIV	chrXIV:703451	1.163	-66.81	1752.4	1041.4	AGA1	248	NA	NA
125	27443	27683	chrXV	chrXV:27563	1.826	-11.198	83.7	19.7	IMA2	3269	NA	NA
126	27776	28035	chrXV	chrXV:27896_chrXV:27915	1.162	-11.193	269.6	127	IMA2	3602	NA	NA
127	167962	168202	chrXV	chrXV:168082	4.191	-145.853	304.3	45.3	ATG19	645	NA	NA
128	288377	288617	chrXV	chrXV:288497	2.744	-81.958	284.1	68	TOS7	401	YOL019W-A	77
129	569712	569952	chrXV	chrXV:569832	3.51	-92.921	224.5	25.1	AFI1	274	NA	NA
130	570879	571119	chrXV	chrXV:570999	3.777	-44.873	105.9	19.4	ORT1	192	NA	NA
131	810326	810566	chrXV	chrXV:810446	4.103	-11.838	23.5	2.7	CDC31	562	TRE2	237
132	854538	854987	chrXV	chrXV:854658_chrXV:854867	3.989	-94.884	205.1	28	MPD1	1790	NA	NA
133	954087	954327	chrXV	chrXV:954207	4.35	-51.35	99.9	6.7	TEA1	137	NA	NA
134	978804	979111	chrXV	chrXV:978924_chrXV:978991	2.288	-276.402	1282	345.8	TYE7	922	NA	NA
135	979177	979417	chrXV	chrXV:979297	0.947	-9.172	498.9	307.8	TYE7	1228	NA	NA
136	1008226	1008466	chrXV	chrXV:1008346	1.964	-15.005	86.5	32.7	HAP5	1815	CIR2	1125
137	109908	110148	chrXVI	chrXVI:110028	2.653	-7.388	27.6	10.7	VMA11	4588	FAS2	1376
138	182726	182966	chrXVI	chrXVI:182846	2.754	-28.556	103.5	31.9	GUP2	6308	PRM3	210
139	183134	183490	chrXVI	chrXVI:183254_chrXVI:183370	6.096	-888.008	1390.5	41.3	PRM3	314	NA	NA
140	214588	214828	chrXVI	chrXVI:214708	1.672	-42.541	382.8	160.3	CUP9	746	NA	NA
141	214911	215260	chrXVI	chrXVI:215031_chrXVI:215140	2.744	-253.703	868.2	149.7	CUP9	1069	NA	NA
142	256208	256448	chrXVI	chrXVI:256328	1.944	-12.039	75.2	25	AIM44	2018	PRM4	439
143	256492	256732	chrXVI	chrXVI:256612	3.807	-43.662	104	23.5	AIM44	2302	PRM4	155
144	256823	257107	chrXVI	chrXVI:256943_chrXVI:256987	4.13	-380.018	776.9	52.4	PRM4	220	NA	NA
145	769665	769905	chrXVI	chrXVI:769785	4.027	-166.649	353.9	41.1	CLB2	1868	NA	NA
146	770083	770323	chrXVI	chrXVI:770203	1.815	-7.96	62.6	19.8	CLB2	1450	NA	NA
147	798832	799072	chrXVI	chrXVI:798952	4.015	-63.23	130.8	13.2	CTF4	282	NA	NA
148	812916	813156	chrXVI	chrXVI:813036	2.385	-44.227	186.2	34.9	MEP3	583	NA	NA
149	818036	818276	chrXVI	chrXVI:818156	3.18	-35.741	101	11.6	RRP15	167	YPR142C	537
150	856949	857189	chrXVI	chrXVI:857069	1.423	-15.866	214.2	118.2	KRE6	514	NA	NA
151	880735	880975	chrXVI	chrXVI:880855	5.883	-302.034	495.4	27.5	YPR169W-A	2384	NA	NA
